software	count
GAMA	31
NeMo	31
POLARIS	31
STACEY	31
GALA	30
GESTALT	30
JAM	29
CoSMoS	28
EVIDENT	28
GENIUS	28
BEAR	27
MODA	27
RETAIN	27
CONSTRUCT	26
DynaLog	26
GAINS	26
MONET	26
MORPH	26
MOSES	26
COMLEX	24
MENTOR	24
Orchestra	24
PICCOLO	23
SPARSE	23
iMAP	23
MONSTER	22
NORMAN	22
PeakFinder	22
VeriStrat	22
CONGA	21
TATES	21
PICTURE	20
SAMA	20
CONTAM	17
OnTrack	17
SAGAT	17
GISMO	16
ARTSCAN	15
COSINE	15
GENN	15
Biozon	14
AUREA	11
BEEM	11
GASS	11
MPDA	11
BEAN	10
PRINCESS	8
PoGo	8
iTools	8
MCZ	6
AutoKinetics	5
lmcENM	1
